date,visits
2013-08-22,12
2013-08-23,126
2013-08-24,18
2013-08-25,73
2013-08-26,8
2013-08-27,8
2013-08-28,1
2013-08-29,16
2013-08-30,69
2013-08-31,26
2013-09-01,0
2013-09-02,10
2013-09-03,1
2013-09-04,6
2013-09-05,1
2013-09-06,1
2013-09-07,9
2013-09-08,11
2013-09-09,7
2013-09-10,0
2013-09-11,6
2013-09-12,18
2013-09-13,38
2013-09-14,44
2013-09-15,16
2013-09-16,11
2013-09-17,10
2013-09-18,63
2013-09-19,146
2013-09-20,64
2013-09-21,9
2013-09-22,26
